,NAME,YEAR,FILE_NAME
0,Ada Lovelace,1852,000.txt
1,Robert E Lee,1870,001.txt
2,Andrew Johnson,1875,002.txt
3,Bedford Forrest,1877,003.txt
4,Lucretia Mott,1880,004.txt
5,Charles Darwin,1882,005.txt
6,Ulysses Grant,1885,006.txt
7,Mary Ewing Outerbridge,1886,007.txt
8,Emma Lazarus,1887,008.txt
9,Louisa M Alcott,1888,009.txt
10,P T Barnum,1891,010.txt
11,R L Stevenson,1894,011.txt
12,Fred Douglass,1895,012.txt
13,Harriet Beecher Stowe,1896,013.txt
14,Stephen Crane,1900,014.txt
15,Nietzsche,1900,015.txt
16,William McKinley,1901,016.txt
17,Queen Victoria,1901,017.txt
18,Benjamin Harrison,1901,018.txt
19,Elizabeth Cady Stanton,1902,019.txt
20,James M N Whistler,1903,020.txt
21,Emily Warren Roebling,1903,021.txt
22,Susan B Anthony,1906,022.txt
23,Qiu Jin,1907,023.txt
24,Cleveland,1908,024.txt
25,Sarah Orne Jewett,1909,025.txt
26,Geronimo,1909,026.txt
27,William James,1910,027.txt
28,Florence Nightingale,1910,028.txt
29,Tolstoy,1910,029.txt
30,Joseph Pulitzer,1911,030.txt
31,John P Holland,1914,031.txt
32,Alfred Thayer Mahan,1914,032.txt
33,John Muir,1914,033.txt
34,F W Taylor,1915,034.txt
35,B T Washington,1915,035.txt
36,J J Hill,1916,036.txt
37,Jack London,1916,037.txt
38,Martian Theory,1916,038.txt
39,Hilaire G E Degas,1917,039.txt
40,C J Walker,1919,040.txt
41,Carnegie Started,1919,041.txt
42,Anna H Shaw,1919,042.txt
43,Marlene Dietrich,1920,043.txt
44,Nellie Bly,1922,044.txt
45,Alexander Graham Bell,1922,045.txt
46,Warren Harding,1923,046.txt
47,Harry Houdini,1926,047.txt
48,Victoria Martin,1927,048.txt
49,Mabel Craty,1928,049.txt
50,Marie Curie,1929,050.txt
51,Balfour,1930,051.txt
52,Elmer Sperry,1930,052.txt
53,William Howard Taft,1930,053.txt
54,Conan Doyle,1930,054.txt
55,Ida B Wells,1931,055.txt
56,Melvil Dewey,1931,056.txt
57,Thomas Edison,1931,057.txt
58,Knute Rocke,1931,058.txt
59,John Philip Sousa,1932,059.txt
60,Florenz Ziegfeld,1932,060.txt
61,Calvin Coolidge,1933,061.txt
62,Ring Lardner,1933,062.txt
63,Louis C Tiffany,1933,063.txt
64,T A Watson,1934,064.txt
65,Justice Holmes,1935,065.txt
66,Jane Addams,1935,066.txt
67,Will Rogers,1935,067.txt
68,Adolph S Ochs,1935,068.txt
69,Anne Macy,1936,069.txt
70,John W Heisman,1936,070.txt
71,Maxim Gorky,1936,071.txt
72,Maurice Ravel,1937,072.txt
73,Edith Wharton,1937,073.txt
74,John Rockefeller,1937,074.txt
75,Clarence Darrow,1938,075.txt
76,George E Hale,1938,076.txt
77,Constantin Stanislavsky,1938,077.txt
78,W B Yeats,1939,078.txt
79,Pope Pius XI,1939,079.txt
80,Howard Carter,1939,080.txt
81,Scott Fitzgerald,1940,081.txt
82,Marcus Garvey,1940,082.txt
83,Frank Conrad,1941,083.txt
84,Lou Gehrig,1941,084.txt
85,James Joyce,1941,085.txt
86,Virginia Woolf,1941,086.txt
87,George M Cohan,1942,087.txt
88,J H Kellogg,1943,088.txt
89,George Washington Carver,1943,089.txt
90,Alfred E Smith,1944,090.txt
91,Ida M Tarbell,1944,091.txt
92,Ernie Pyle,1945,092.txt
93,Harry S Truman,1945,093.txt
94,George Patton,1945,094.txt
95,FDR,1945,095.txt
96,Jerome Kern,1945,096.txt
97,Adolf Hitler,1945,097.txt
98,Bela Bartok,1945,098.txt
99,Gertrude Stein,1946,099.txt
100,Lord Keynes,1946,100.txt
101,C E M Clung,1946,101.txt
102,Willa Cather,1947,102.txt
103,Al Capone,1947,103.txt
104,Fiorello La Guardia,1947,104.txt
105,Max Planck,1947,105.txt
106,Henry Ford,1947,106.txt
107,John Pershing,1948,107.txt
108,Sergei Eisenstein,1948,108.txt
109,Mohandas K Gandhi,1948,109.txt
110,Babe Ruth,1948,110.txt
111,Mitchell,1949,111.txt
112,A J Dempster,1950,112.txt
113,Edna St V Millay,1950,113.txt
114,Henry L Stimson,1950,114.txt
115,Fanny Brice,1951,115.txt
116,Henrietta Lacks,1951,116.txt
117,Eva Peron,1952,117.txt
118,John Dewey,1952,118.txt
119,Chaim Weizmann,1952,119.txt
120,Charles Spaulding,1952,120.txt
121,Fred Vinson,1953,121.txt
122,Marjorie Rawlings,1953,122.txt
123,Joseph Stalin,1953,123.txt
124,Jim Thorpe,1953,124.txt
125,Eugene O Neill,1953,125.txt
126,Anne O Hare McCormick,1954,126.txt
127,Frida Kahlo,1954,127.txt
128,Getulio Vargas,1954,128.txt
129,Enrico Fermi,1954,129.txt
130,Henri Matisse,1954,130.txt
131,Liberty H Bailey,1954,131.txt
132,Lionel Barrymore,1954,132.txt
133,Thomas Mann,1955,133.txt
134,Albert Einstein,1955,134.txt
135,Margaret Abbott,1955,135.txt
136,Walter White,1955,136.txt
137,Cy Young,1955,137.txt
138,Dale Carnegie,1955,138.txt
139,Babe Zaharias,1956,139.txt
140,Charles Merrill,1956,140.txt
141,Thomas J Watson Sr,1956,141.txt
142,Gerard Swope,1957,142.txt
143,Christian Dior,1957,143.txt
144,W C Handy,1958,144.txt
145,Billie Holiday,1959,145.txt
146,Frank Lloyd Wright,1959,146.txt
147,Ethel Barrymore,1959,147.txt
148,Cecil De Mille,1959,148.txt
149,Ross G Harrison,1959,149.txt
150,John Dulles,1959,150.txt
151,Boris Pasternak,1960,151.txt
152,Beno Gutenberg,1960,152.txt
153,Emily Post,1960,153.txt
154,Richard Wright,1960,154.txt
155,Hammarskjold,1961,155.txt
156,Ernest Hemingway,1961,156.txt
157,Primitive Artist,1961,157.txt
158,Emily Balch,1961,158.txt
159,Sam Rayburn,1961,159.txt
160,Carl G Jung,1961,160.txt
161,Marilyn Monroe,1962,161.txt
162,Eleanor Roosevelt,1962,162.txt
163,William Faulkner,1962,163.txt
164,Sylvia Plath,1963,164.txt
165,John F Kennedy,1963,165.txt
166,Robert Frost,1963,166.txt
167,W E B DuBois,1963,167.txt
168,Herbert Hoover,1964,168.txt
169,Douglas MacArthur,1964,169.txt
170,Sean O Casey,1964,170.txt
171,Rachel Carson,1964,171.txt
172,Cole Porter,1964,172.txt
173,Nella Larsen,1964,173.txt
174,Adlai Ewing Stevenson,1965,174.txt
175,David O Selznick,1965,175.txt
176,Churchill,1965,176.txt
177,Branch Rickey,1965,177.txt
178,Martin Buber,1965,178.txt
179,Edward R Murrow,1965,179.txt
180,Albert Schweitzer,1965,180.txt
181,Shirley Jackson,1965,181.txt
182,Margaret Sanger,1966,182.txt
183,Chester Nimitz,1966,183.txt
184,Buster Keaton,1966,184.txt
185,Lenny Bruce,1966,185.txt
186,Walt Disney,1966,186.txt
187,Alfred P Sloan Jr,1966,187.txt
188,Gregory Pincus,1967,188.txt
189,Henry R Luce,1967,189.txt
190,Langston Hughes,1967,190.txt
191,J Robert Oppenheimer,1967,191.txt
