,N_TOPICS,ALPHA,ETA,PERPLEXITY,COHERENCE
0,10,0.001,0.001,12420.57737356518,0.41801551342010496
1,10,0.001,0.01,9943.82303570235,0.4890954857319594
2,10,0.001,0.1,9054.59720169789,0.564177631412167
3,10,0.001,0.2,8737.400346334887,0.736692598760128
4,10,0.001,0.5,8098.099613130872,0.8647382253408431
5,10,0.001,0.75,7775.262339514279,0.8626429438591003
6,10,0.001,1.0,7093.642718671065,0.8953412067890169
7,10,0.01,0.001,12604.499538857594,0.444054737109691
8,10,0.01,0.01,9912.037119098422,0.4788554895669222
9,10,0.01,0.1,8913.693058666497,0.6011396243423224
10,10,0.01,0.2,8551.87678747048,0.7465474542975425
11,10,0.01,0.5,8157.981667152669,0.8601822942495346
12,10,0.01,0.75,7417.9277723285495,0.893596272468567
13,10,0.01,1.0,7084.061239884309,0.8998773264884949
14,10,0.1,0.001,12440.456399627099,0.43925784235820176
15,10,0.1,0.01,9867.913402058844,0.4791396877914667
16,10,0.1,0.1,9018.755164500062,0.5980031219543889
17,10,0.1,0.2,8612.473581321185,0.7546548581123351
18,10,0.1,0.5,8100.059405131284,0.8643989056348801
19,10,0.1,0.75,7750.201453802904,0.8446470367908478
20,10,0.1,1.0,7096.997224543133,0.8835811924934387
21,10,0.2,0.001,12598.318302443115,0.4399977507814765
22,10,0.2,0.01,9888.85734598426,0.48367885078303524
23,10,0.2,0.1,8907.088438765983,0.6436016443092376
24,10,0.2,0.2,8635.24335030131,0.7018465362489223
25,10,0.2,0.5,8103.885610612176,0.856546094417572
26,10,0.2,0.75,7787.56364393616,0.864674065709114
27,10,0.2,1.0,7113.538110779816,0.8973879790306093
28,10,0.5,0.001,12450.844058952332,0.44281165603548295
29,10,0.5,0.01,9925.147320535893,0.48422707460820674
30,10,0.5,0.1,8981.03695863745,0.652054986357689
31,10,0.5,0.2,8536.93877358145,0.7107267424464225
32,10,0.5,0.5,8125.20109020323,0.8737447780370712
33,10,0.5,0.75,7356.386855470345,0.8925998228788377
34,10,0.5,1.0,7096.063923561633,0.8864553815126419
35,10,0.75,0.001,12286.22168433285,0.4458849492669105
36,10,0.75,0.01,9834.539543910432,0.4997322888486087
37,10,0.75,0.1,9009.232034784029,0.590246199220419
38,10,0.75,0.2,8663.155214243696,0.7195341137051583
39,10,0.75,0.5,8109.5899101638515,0.8578349190950394
40,10,0.75,0.75,7387.026841832783,0.8934709000587464
41,10,0.75,1.0,7652.619955861694,0.8839884257316587
42,10,1.0,0.001,12539.538313642575,0.4346873728418723
43,10,1.0,0.01,9836.080126732613,0.4832538291811942
44,10,1.0,0.1,8986.218807791285,0.5662637838721276
45,10,1.0,0.2,8618.08986971553,0.7438199386000633
46,10,1.0,0.5,8133.042227033421,0.8529970699548721
47,10,1.0,0.75,7400.282517991814,0.8910456472635268
48,10,1.0,1.0,7082.4480612321295,0.9029516470432281
49,11,0.001,0.001,12221.207158411917,0.4598185930401087
50,11,0.001,0.01,9744.534878242726,0.4869726509194482
51,11,0.001,0.1,9316.75151793065,0.6142150360752235
52,11,0.001,0.2,8477.72045905626,0.7755290952595797
53,11,0.001,0.5,8075.73681745981,0.8708818029273641
54,11,0.001,0.75,7417.464707717943,0.902445696700703
55,11,0.001,1.0,7135.644731285508,0.8963034987449645
56,11,0.01,0.001,12522.608294478972,0.4314449246380139
57,11,0.01,0.01,9760.733788697327,0.49711420611393714
58,11,0.01,0.1,8832.46378314727,0.6688739887692711
59,11,0.01,0.2,8577.00072649906,0.7518296263434671
60,11,0.01,0.5,8252.554430224844,0.8647445982152767
61,11,0.01,0.75,7418.889931236399,0.8948077028447933
62,11,0.01,1.0,7111.350043772782,0.903775155544281
63,11,0.1,0.001,12400.113163146763,0.41034236977046185
64,11,0.1,0.01,9723.582434073245,0.49923127818778573
65,11,0.1,0.1,9380.079275996508,0.6384015291759914
66,11,0.1,0.2,8584.149342101133,0.7448373434218493
67,11,0.1,0.5,8158.468868763785,0.8632009034807031
68,11,0.1,0.75,7750.56071392304,0.876168324730613
69,11,0.1,1.0,7608.382823388685,0.8557099461555481
70,11,0.2,0.001,12604.292637605655,0.4138459353961728
71,11,0.2,0.01,9754.931185282187,0.4928157229738479
72,11,0.2,0.1,9235.055841020932,0.683382340994748
73,11,0.2,0.2,8604.177985306984,0.7648943941701543
74,11,0.2,0.5,8163.704771922613,0.8781015835025094
75,11,0.2,0.75,7909.908566735419,0.8729232110760431
76,11,0.2,1.0,7547.219503470819,0.8231396626681089
77,11,0.5,0.001,12465.345424361847,0.4174334824085235
78,11,0.5,0.01,9767.291651600286,0.5298059878362852
79,11,0.5,0.1,8929.65185030906,0.658323897285895
80,11,0.5,0.2,8528.877178552346,0.7505052333528345
81,11,0.5,0.5,8131.507211934826,0.8722649238326333
82,11,0.5,0.75,7861.5794227781935,0.8802521304650739
83,11,0.5,1.0,7086.083561932722,0.896036949482831
84,11,0.75,0.001,12257.607881702726,0.41577826674011625
85,11,0.75,0.01,9912.347413864265,0.49124903164126654
86,11,0.75,0.1,8871.3208602481,0.6351787931878459
87,11,0.75,0.2,8543.54190863506,0.7827278958125548
88,11,0.75,0.5,8193.676101866165,0.8632752873680808
89,11,0.75,0.75,7867.118772868727,0.8836349714886058
90,11,0.75,1.0,7090.837773635192,0.9072589348662984
91,11,1.0,0.001,12439.55412975013,0.42750598964366043
92,11,1.0,0.01,9884.353414215368,0.5322665719146079
93,11,1.0,0.1,9280.128228438058,0.6379086341031572
94,11,1.0,0.2,8682.047193917346,0.7696560867808082
95,11,1.0,0.5,8060.819014494763,0.8706910653547808
96,11,1.0,0.75,7741.560555166519,0.8728254188190806
97,11,1.0,1.0,7110.930437187464,0.8959144651889801
98,12,0.001,0.001,11970.320068714704,0.49097245099643866
99,12,0.001,0.01,9730.794051668283,0.525142141773055
100,12,0.001,0.1,8859.727956172725,0.6716299737493197
101,12,0.001,0.2,8564.322765770248,0.7937824795643489
102,12,0.001,0.5,8086.313678039308,0.8705758025248844
103,12,0.001,0.75,7421.1454436643135,0.9038199931383134
104,12,0.001,1.0,7114.012572139288,0.9102459381024041
105,12,0.01,0.001,12508.194090239944,0.4558473723513694
106,12,0.01,0.01,9780.872322879191,0.5324480192580571
107,12,0.01,0.1,9114.743011262499,0.6766643633445105
108,12,0.01,0.2,8495.131328783125,0.7746668214599293
109,12,0.01,0.5,8116.073876623549,0.8769953290621438
110,12,0.01,0.75,7413.949098631839,0.9078589911262194
111,12,0.01,1.0,7113.4682202088725,0.9097070852915445
112,12,0.1,0.001,12216.701400527458,0.4891835958386461
113,12,0.1,0.01,9867.09683655235,0.5134905048646032
114,12,0.1,0.1,9162.9217231929,0.6459532739128917
115,12,0.1,0.2,8421.351719859425,0.7920939505100248
116,12,0.1,0.5,8199.409846341348,0.8761824036637941
117,12,0.1,0.75,7407.0651715773965,0.9071531772613527
118,12,0.1,1.0,7159.3757316480205,0.9093290949861209
119,12,0.2,0.001,12153.296306609112,0.47922614500857885
120,12,0.2,0.01,9894.839040913266,0.5126658523300042
121,12,0.2,0.1,8854.216349435217,0.6708004539211591
122,12,0.2,0.2,8479.154039100426,0.7916268048187098
123,12,0.2,0.5,7933.331474202866,0.8758775035540264
124,12,0.2,0.75,7431.429820231634,0.9004873072107632
125,12,0.2,1.0,7147.349709265743,0.9086002687613169
126,12,0.5,0.001,12104.995744269841,0.4659054311923683
127,12,0.5,0.01,9742.749927506828,0.5231547835593423
128,12,0.5,0.1,9036.482208598612,0.677204050992926
129,12,0.5,0.2,8469.08573598722,0.7555327547093231
130,12,0.5,0.5,8236.13525070679,0.8791784897446631
131,12,0.5,0.75,7403.804967235905,0.9048959707220398
132,12,0.5,1.0,7150.736284380493,0.9078228801488875
133,12,0.75,0.001,12404.846452232394,0.4437718186372271
134,12,0.75,0.01,9819.934835146598,0.5824034117162228
135,12,0.75,0.1,8912.061476913395,0.7217645068963369
136,12,0.75,0.2,8467.455042117219,0.7669301948199668
137,12,0.75,0.5,8192.910405263809,0.8787333438793818
138,12,0.75,0.75,7428.586500765997,0.9070230300227801
139,12,0.75,1.0,7627.045746355029,0.8786821529269221
140,12,1.0,0.001,12360.5175510494,0.44698879476636644
141,12,1.0,0.01,9816.52707549758,0.5181566583613555
142,12,1.0,0.1,9252.875326428531,0.676634609947602
143,12,1.0,0.2,8554.549813029496,0.7777461846669514
144,12,1.0,0.5,8145.368993465709,0.8792415618896485
145,12,1.0,0.75,7948.133117918398,0.8806744570533435
146,12,1.0,1.0,7131.194426149039,0.9095988864699999
147,13,0.001,0.001,12467.916739224213,0.4551381225482775
148,13,0.001,0.01,9838.268433561923,0.5152939146433849
149,13,0.001,0.1,8783.128282011847,0.7122479451390412
150,13,0.001,0.2,8481.110040134976,0.7799696472974923
