,AUTHOR,TITLE,GENRE,PUB_DATE,ISBN,FILE_NAME
0,Emma Newman,After Atlas,Fiction,2016-11-08,9780425282403,0000.txt
1,Horatio Alger,Ragged Dick and Struggling Upward,Classics,1985-01-08,9780140390339,0001.txt
2,Minette Walters,The Shape of Snakes,Fiction,2008-02-19,9780307277114,0002.txt
3,Bart Moore-Gilbert,The Setting Sun,Nonfiction,2014-05-13,9781781682685,0003.txt
4,Megan McDonald,Stink and the Shark Sleepover,Children’s Books,2015-02-10,9780763676780,0004.txt
5,William Poundstone,Prisoner's Dilemma,Nonfiction,1993-01-01,9780385415804,0005.txt
6,Janwillem van de Wetering,The Japanese Corpse,Fiction,2003-04-01,9781569470572,0006.txt
7,Joyce Milton,Sacajawea,Children’s Books,2001-10-15,9780448425399,0007.txt
8,"Adele Yellin, Kevin West",The Grand Central Market Cookbook,Nonfiction,2017-10-03,9781524758929,0008.txt
9,Liz Curtis Higgs,Thorn in My Heart,Fiction,2003-03-18,9781578565122,0009.txt
10,Ashlyn Macnamara,What a Lady Craves,Fiction,2014-08-12,9780553393750,0010.txt
11,Archie Superstars,Archie Comics Spectacular: Summer Daze,Children’s Books,2014-08-26,9781619889262,0011.txt
12,Lori Roy,Let Me Die in His Footsteps,Fiction,2016-06-07,9781101984307,0012.txt
13,James A. Michener,The Drifters,Fiction,2015-05-05,9780812986723,0013.txt
14,"Ryan Holiday, Stephen Hanselman",The Daily Stoic Journal,Nonfiction,2017-11-14,9780525534396,0014.txt
15,Kathleen Ernst,Hearts of Stone,Children’s Books,2006-10-19,9781101119310,0015.txt
16,Nobuaki Tadano,"7 Billion Needles, Volume 1",Fiction,2013-04-30,9781939130242,0016.txt
17,"Gene Daoust, Joyce Daoust",The Formula,Nonfiction,2001-12-26,9780345443069,0017.txt
18,Lynn Kurland,Princess of the Sword,Fiction,2013-12-03,9780425254509,0018.txt
19,Penguin Young Readers,"Dick and Jane: Go, Go, Go",Children’s Books,2003-09-15,9780448434056,0019.txt
20,Irene Kelly,Even an Octopus Needs a Home,Children’s Books,2011-08-01,9780823422357,0020.txt
21,Jonathan Raban,Foreign Land,Fiction,2001-12-04,9780375725944,0021.txt
22,Dominique Fabre,The Waitress Was New,Fiction,2008-01-21,9780977857692,0022.txt
23,Tamora Pierce,"Tempests and Slaughter (The Numair Chronicles, Book One)",Teen & Young Adult,2018-02-06,9780375847110,0023.txt
24,Garry Wills,Papal Sin,Nonfiction,2001-09-18,9780385494113,0024.txt
25,Hiroaki Samura,Blade of the Immortal Volume 10: Secrets,Fiction,2002-06-25,9781569717462,0025.txt
26,Song Nan Zhang,The Children of China,Children’s Books,1998-04-25,9780887764486,0026.txt
27,Juergen Habermas,Toward a Rational Society,Nonfiction,1971-08-01,9780807041772,0027.txt
28,Stephanie Greene,Princess Posey and the Christmas Magic,Children’s Books,2013-10-17,9780399163630,0028.txt
29,Jane Killick,Babylon 5: Wheel of Fire,Fiction,1999-03-16,9780345424518,0029.txt
30,Natalie Ziarnik,A Lullaby of Summer Things,Children’s Books,2018-05-15,9781101935521,0030.txt
31,Marilyn Pappano,Small Wonders,Fiction,2003-08-26,9780440241195,0031.txt
32,Rachel Cohn,The Steps,Children’s Books,2003-03-11,9780807215609,0032.txt
33,Fridrik Erlings,Fish in the Sky,Teen & Young Adult,2012-09-11,9780763658885,0033.txt
34,Marty Rhodes Figley,Emily and Carlo,Children’s Books,2012-02-01,9781580892742,0034.txt
35,David A. Adler,Bones and the Cupcake Mystery,Children’s Books,2008-06-12,9780142411476,0035.txt
36,Thomas Gifford,The First Sacrifice,Fiction,1995-11-01,9780553763409,0036.txt
37,V. S. Naipaul,Reading and Writing,Nonfiction,2000-02-28,9780940322387,0037.txt
38,John Burningham,Tug of War,Children’s Books,2013-08-06,9780763665753,0038.txt
39,Wendy Roberts,Dead Suite,Fiction,2013-02-19,9781101595121,0039.txt
40,"David Blandy, Adam Rutherford",Out Of Nothing [Graphic Novel],Nonfiction,2018-02-05,9781910620281,0040.txt
41,Herbert Marcuse,A Study on Authority,Nonfiction,2008-01-17,9781844672097,0041.txt
42,"Ulises Farinas, Erick Freitas",Judge Dredd: Mega-City Zero Volume 3,Fiction,2017-02-28,9781631408380,0042.txt
43,"Lori Foster, Stella Cameron, Sarah McCarty, Donna MacMeans, Dianne Castell",Tails of Love,Fiction,2011-12-06,9780425245064,0043.txt
44,Sherwood Smith,Crown Duel,Teen & Young Adult,2002-06-10,9780142301517,0044.txt
